id,name,review_count,rate,address,zip_code,coordinates
zNcDCPiUsE5aT6jyaCVtmA,Fresco's Cantina,164,4.5,12-14 31st Ave,11106,"(40.76837, -73.93303)"
vN1CYP0WNSPfdmZAstfdOg,Sabor A Mexico,163,3.5,233 E 77th St,10021,"(40.772556, -73.957035)"
q1ha1qnViHKmh3-tEGw8DA,Taco Dumbo,35,4.0,1385 Broadway,10018,"(40.75275, -73.98756)"
dgaNriM1VdI2nGochhHE_g,Casa Enrique,1037,4.0,5-48 49th Ave,11101,"(40.743404338358, -73.954350367693)"
hhXM-_vvNm7EPiegxiQeCQ,La Piedra Del Sol,9,5.0,137 48th St,07087,"(40.7795, -74.01768)"
2kPGo5wA33eBJj-OzA96tQ,Bar San Miguel,123,4.0,307 Smith St,11231,"(40.68134, -73.9938279)"
-Qn5nXGhxWHNePA0dYmPSg,Tacos Times Square,88,4.0,144B W 37th St,10018,"(40.75255, -73.98864)"
gKJ-rb2di7fPGIuIjF0ylw,Taco Dumbo,79,4.0,2 Pennsylvania Plz,10121,"(40.750297, -73.991708)"
LyCE268_fz_MAZieFZY1lA,El Cantinero,524,3.0,86 University Pl,10003,"(40.73364, -73.99324)"
JywbRdA7yskb-06WbjUjKw,Paquito's,244,3.5,143 1st Ave,10003,"(40.728137, -73.985134)"
PWFK0nvJ23Xkk_B4C5Q4Aw,Factory Tamal,71,4.5,34 Ludlow St,10002,"(40.7159893975333, -73.9903887679246)"
n-Z4HSwVeiDyA7AotduUNw,Sonora,119,3.5,174 Howard Ave,11233,"(40.6824295855403, -73.9199669121657)"
h5VLolcEpu3ZUnDdjfhjSg,Papasito Mexican Grill & Agave Bar,401,3.0,223 Dyckman St,10034,"(40.8658205, -73.9273649)"
t86q8MbsrW8pB8bmfwPWTw,Blockheads,429,3.5,954 2nd Ave,10022,"(40.7551, -73.96802)"
JzUg9hbxpAbyvs0JzbFruA,Noche Mexicana,246,3.0,842 Amsterdam Ave,10025,"(40.79742, -73.96814)"
AgAkUVLN_axMY-bzbNCfCw,Yuca Bar,1687,4.0,111 Avenue A,10009,"(40.7262, -73.9836)"
OsnvNfvVnpjnFklon1s-vg,La Chula,127,4.0,137 E 116th St,10029,"(40.79882, -73.94168)"
k3iUNUGsl-xpQ_EsOfTadA,Cafe Ollin,373,4.0,339 E 108th St,10029,"(40.7912288, -73.9395386)"
DGloxcTvrqGLlSghSWtAlA,Rincon Mexicano,77,4.0,4160 Broadway,10033,"(40.84699, -73.93788)"
hrswGldQVdR9OJRtqp0TxA,Gonzalez y Gonzalez,430,3.5,192 Mercer St,10012,"(40.7261303289736, -73.9972339217213)"
frWu5KfSULdCHd0GmA-ytw,La Palapa,662,3.5,77 St Mark's Pl,10003,"(40.727969, -73.985604)"
4zBGXDXg9DzK0IROwCUeFg,Cowgirl Seahorse,546,4.0,259 Front St,10038,"(40.7081358, -74.0004532)"
YKAwpTnKO-n5vB9-pqaCLQ,Taqueria Y Fonda,480,3.5,968 Amsterdam Ave,10025,"(40.8016168, -73.965212)"
WE064Ln20S4MQVT1hETCCw,Canyon Road Grill,224,3.5,1470 1st Ave,10075,"(40.770694, -73.953774)"
MxrjY6myVl8vK0YvCT4r4g,Las Delicias Mexicanas,56,4.0,2109 3rd Ave,10029,"(40.79735, -73.94009)"
_5BoZ_C5zEl5M_MxT1W39w,Cascabel Taqueria,384,3.5,2799 Broadway 108th St,10025,"(40.8029136693265, -73.9679586979658)"
qZfJbJPxZUkC66lRldcbGA,Tulcingo Del Valle,247,3.5,665 10th Ave,10036,"(40.762756, -73.993545)"
sshS0FJ6tKkmLCcEKXyVkA,El Tepeyac Mexican Food,20,4.5,1621 Lexington Ave,10029,"(40.789737, -73.94786)"
GeL6wGdzhdEhuIFQau3ocQ,Taqueria Meza,229,3.5,95 7th Ave S,10014,"(40.7330017, -74.002915)"
AUyKmFjpaVLwc3awfUnqgQ,Chela & Garnacha,334,4.5,33-09 36th Ave,11106,"(40.7557171543477, -73.927811292412)"
o-KRgyTJoM4EM-K-rwe86w,Bodega Negra,593,3.5,355 W 16th St,10011,"(40.7421414364183, -74.0035781860352)"
NKDLr_aBy5WRX8-JR_SGyQ,Calaca,154,4.0,139 Putnam Ave,11238,"(40.6834, -73.95655)"
8_NilECM6qg_L7WYb25uNw,Luchadores,32,4.0,87 South St,10038,"(40.70582, -74.00411)"
x9wa2M7gvf32swUSBP3uXA,Blockheads,743,3.5,Worldwide Plz,10019,"(40.7627155294445, -73.9876316100625)"
lL5DgsvOuiI8nMQcjK1bMA,El Centro Cantina,22,4.0,359 W 54th St,10019,"(40.76593, -73.98675)"
RyEd54MOTc5OcYtOiDt11g,Iguana Restaurant & Dance Lounge,788,3.0,240 W 54th St,10019,"(40.7642063, -73.9832105)"
uVfOB37NyYEGRs5FITM-nQ,Leyenda,183,4.0,221 Smith St,11201,"(40.68431, -73.99197)"
trOfIBnEr_CxZuLRyGj9FQ,Miti Miti,667,4.0,138 5th Ave,11217,"(40.6786672454389, -73.9791200818081)"
6AJwsgXr7YwsqneGVAdgzw,Las Catrinas Mexican Bar & Eatery,237,4.0,32-02 Broadway,11106,"(40.7614214682633, -73.9246649456171)"
POGfmcCkuLpkP_Vz98DuwQ,Caliente Cab,729,2.5,61 7th Ave S,10014,"(40.7318059, -74.0035903)"
7I-4qCgJq3n0yan1ChE-ew,Zona Rosa,389,3.5,571 Lorimer St,11211,"(40.7139388888686, -73.9494076703442)"
5Ota_iMwlPLPrap-KfQrgw,Benny's Burritos,724,3.5,113 Greenwich Ave,10014,"(40.7380740387279, -74.002123778491)"
bCCW3DOK5vDR6x4qb2YzFw,Calexico,383,3.5,278B 5th Ave,11215,"(40.674264453218, -73.9822726759751)"
0oRYwB_SLqjHptvUQwwe2w,Tajin,211,3.5,85 Greenwich St,10006,"(40.70772, -74.01356)"
qosp2vDDXks8eMGH7p4WSQ,La Fortaleza,813,4.0,361 Midland Ave,07026,"(40.8770561218262, -74.1033096313477)"
Nnuz_Ic0IdWOUbl64r4Hkg,Fonda Park Slope,756,4.0,434 7th Ave,11215,"(40.663631439209, -73.9846343994141)"
hmx8vUMYJPTbfgN8c7A5LA,El Aguila Dorada Restaurant,287,4.0,830 Broadway,07002,"(40.6756098548753, -74.1081924349606)"
B-bx4pZXrat0D25vde2bJQ,Cantina Taqueria & Tequila Bar,186,3.5,329 Lenox,10027,"(40.8088408787201, -73.9449808870425)"
HKBJGt04_ZSdiIWA_6J8kQ,Tortaria,637,3.5,94 University Pl,10003,"(40.73387, -73.99304)"
mmAlHhnTDXIohPC3wfl0hQ,Mesa Coyoacan,726,4.0,372 Graham Ave,11211,"(40.715528, -73.944273)"
8p1HTzXEcC3TCbLz59xMng,La Diagonal,157,4.0,185 St Nicholas Ave,10026,"(40.8061, -73.95302)"
yKPRuBvD3ScCc18QrZ4Y6w,El Porton Mexican Restaurant Bar,159,3.5,3151 Broadway,10027,"(40.81452, -73.95966)"
LDLb6b0VGG4ATeNxUlchew,Azteca Restaurant,1,4.0,40-12 Queens Blvd,11104,"(40.743449, -73.9237466)"
