id,cuisine,review_count,rate,recommended
fTyE8UGWb_4Q05fd_H6YPg,mexican,259,3.0,
PGpCaNkB1meojnbgRmb2gQ,mexican,76,5.0,
juULANORQ2onWkEvSMjlaw,mexican,114,3.5,
aQZxNF1j3T_pKCOpGD79cg,mexican,73,5.0,
t5bLApk2dbQPJiLuzfy5tg,mexican,255,4.0,
FrYsIO_pXB6csWkvy-nfbQ,mexican,82,3.5,
o-duxoiNcst0i8plLk55aw,mexican,66,3.5,
p7MviobRqz5rvdzmsjBdEw,mexican,176,4.0,
QIsFsiOP3H_NkgeWST7GPA,mexican,280,4.0,
jQjQHNAM8xXB73kFkfg9kA,mexican,147,4.0,
YOuxIvQh4RbX14Sh98m74Q,mexican,19,4.5,
ipmOYDh9snm3ZUv546MACQ,mexican,166,4.5,
vC5XPdWzKa-c8iUQlUwEUQ,mexican,65,4.0,
W_0AX5JL3QZnX1oQNxQGtw,mexican,75,4.5,
HmdGSeQbK2vI3Vp7xfcIrg,mexican,69,4.0,
xIi-TO8iDQCy1ZSHe11_Zw,mexican,211,3.0,
vsQjfOXS10MQ8_CZ3amhVQ,mexican,241,4.0,
m8z1eTTetr-JbSM1HU2t6Q,mexican,45,4.0,
sul_ihulQ5VUPNbk9liWqA,mexican,407,3.0,
g3QERUGn1BIS-_WJVwnKyQ,mexican,74,4.0,
8XHbZIKDQbXhyKIGiukVeQ,mexican,449,4.5,
ftL-f4OoFFshVYSZwTOrYA,mexican,28,4.0,
vnDkQsM9ijg0AzkZBmCofA,mexican,51,4.5,
ZsCoRBQeHfdxi9qLlfH4dg,mexican,105,4.5,
sbdRT4UyIYTFrXfCKraAhQ,mexican,221,3.5,
al9HKZ3kCJipAJW4uxzj4A,mexican,1979,4.0,
QP77bL34-vftZFZZC2N7sQ,mexican,109,3.5,
XGdUYzkPkX94RoLlPDymeQ,mexican,31,4.0,
9z2lUyfzZV8b2rkkiwSM4g,mexican,839,4.0,
1Ylu26XW3F6gSJWdFw6-8g,mexican,229,4.0,
v7hwkFxrz2pORrT9Fiiovw,mexican,146,3.5,
H9GD7km7riFooM0FkdwOPg,mexican,2457,4.0,
NMvGg6AwvEMUEjIF1z9Ghw,mexican,18,4.0,
hSkeb_lmfxnoqg7EVo19Vw,mexican,344,4.0,
b_3yI7FXcIle71lD9Tulww,mexican,29,4.5,
DHFEpeJXemrdxIuGGcyurg,mexican,590,4.0,
jzVv_21473lAMYXIhVbuTA,mexican,342,4.0,
Wm6vj0ekRAzZnaeaBEkOag,mexican,1615,4.0,
YS21bp9Wp715X75r7eTzxw,mexican,12,4.5,
2ewrI499NSsA1sNX30K5Dg,mexican,93,4.0,
N90gLDq4XgqYanlRqaeNKg,mexican,258,4.0,
Pda9zJfg0pRABp9krlJh3Q,mexican,29,4.0,
34LM8_lP8iwizHBu6YgaQQ,mexican,181,4.5,
ox36ejKIJqE0lALCiZu0IA,mexican,632,3.5,
_M5FVY4hkcuU-ASdVZPfRQ,mexican,518,4.0,
ISxL2HWJNCazHAdy5oblJA,mexican,267,4.5,
uvcEo61aL2F8e4PCzwZsYg,mexican,127,4.5,
vEMveTHn23hdT2_FhV7ctQ,mexican,28,4.5,
XsxnMWdMpVixA7Yyq_vq7Q,mexican,108,4.5,
h5WkewI6U7NjLB_n6WgdvQ,mexican,328,4.0,
F76RYME8VeIIJDkVCOe0rg,mexican,197,2.5,
YgVUJg4-aUsSu9dLhfF-3Q,mexican,179,4.0,
aIigHZBgXDHXalBZMRHsvg,mexican,361,3.5,
4wDGKf3dsSo2b3svJHh-qw,mexican,4,5.0,
wOvCuvf0ftfTxQ-8NJ6V4A,mexican,15,4.5,
bNPYPLuCjnRvRuL56otJiw,mexican,207,4.0,
zBORlLYwMqqJ_GOX6K31mw,mexican,448,2.5,
HOEjrJUwKBxSmQRVSILS8Q,mexican,306,3.5,
6Pa3-9piblDJu0l8u84Jhg,mexican,250,4.5,
R6cdgEFQwu0vDllP5tEWUQ,mexican,217,3.5,
4jucppz-BA0MiY06DjuBYQ,mexican,113,4.5,
pOgAM5F7zTAW7Y_sCjycWQ,mexican,257,4.0,
n9NAUB6ivkk45bUz3nm2AA,mexican,153,4.0,
vpWPgusmUD0cYNKf0uEQIw,mexican,195,4.5,
Ko95LRE9AAvb2Lk9Iwh2-Q,mexican,716,4.0,
bbSVzQG_vBlc7uKOT-IATQ,mexican,20,3.5,
b1YI5HyveAliyFh7Tuiszg,mexican,56,3.0,
7xY3vxBy7yFF5dVAi-6hPQ,mexican,48,3.5,
aAqdmE9QFLLQsYDMibtbJA,mexican,117,4.0,
8WnHtvMdPWE66eSkUdbLhQ,mexican,612,4.0,
pMUsX9vXcHcS9KTRbFewbw,mexican,146,4.0,
fjE_lpKblhrN_48X2ca-7w,mexican,250,4.0,
8-boHR8m_gWYHF4XXasYbA,mexican,9,5.0,
GVc1Eh-Welogn5qgaK-PFA,mexican,2,4.5,
4ttqjZMCsfz6X0kQ_KR0xQ,mexican,970,4.0,
KNo4WyHcQ8Kwd4zXy_mhfA,mexican,1,4.0,
TYVIfbcJ3YT4CP1roKMshg,mexican,615,2.5,
tulTGtXf_TWmcMqPx03Pyw,mexican,60,4.5,
MhGjWgAFFyb6QMwUIkhpBQ,mexican,10,5.0,
IwCABldBA_oOg6S2LnAXYw,mexican,55,3.0,
sMck1jbU2fWNUdEx2BQCqQ,mexican,227,3.5,
JFlt7BDll3JUDy78vJ2q1g,mexican,30,4.0,
g4NwsmgkpdEMRvUmLzVLVA,mexican,113,4.5,
-u5usGYF-cLqf9FMmApinw,mexican,3,5.0,
bVi0Rk_GfkrJJELLXaqEeA,mexican,81,3.5,
eZ0J2lwGdOBZHQKTC5hQYQ,mexican,118,3.5,
WyeBhonhjnjzzpuPJ1euvw,mexican,68,3.5,
qXdxckyNMQ_jFz7ZFvAWXg,mexican,129,3.5,
